hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
21,475,1179,48,0.1011,1,0.0021,62,0.1305,22,0.0463,22,0.0463,12,0.0253,0,0,4,0.0084,0,0,12,0.0253,412,985,497,55,0.1335,4,0.0097,65,0.1578,15,0.0364,15,0.0364,20,0.0485,0,0,1,0.0024,0,0,4,0.0097,358,822,459,29,0.081,3,0.0084,73,0.2039,17,0.0475,14,0.0391,11,0.0307,0,0,0,0,0,0,0,0
22,287,616,56,0.1951,19,0.0662,63,0.2195,19,0.0662,15,0.0523,22,0.0767,3,0.0105,0,0,1,0.0035,9,0.0314,310,719,710,39,0.1258,18,0.0581,83,0.2677,25,0.0806,9,0.029,12,0.0387,3,0.0097,0,0,0,0,13,0.0419,331,775,715,46,0.139,11,0.0332,85,0.2568,20,0.0604,14,0.0423,19,0.0574,3,0.0091,0,0,0,0,14,0.0423
23,160,293,17,0.1063,2,0.0125,36,0.225,12,0.075,4,0.025,9,0.0563,2,0.0125,0,0,1,0.0063,9,0.0563,192,420,335,18,0.0938,0,0,45,0.2344,9,0.0469,7,0.0365,8,0.0417,0,0,1,0.0052,0,0,15,0.0781,188,413,386,22,0.117,2,0.0106,46,0.2447,18,0.0957,10,0.0532,13,0.0691,0,0,1,0.0053,0,0,14,0.0745
24,215,430,21,0.0977,3,0.014,29,0.1349,5,0.0233,31,0.1442,12,0.0558,0,0,3,0.014,3,0.014,6,0.0279,196,455,354,21,0.1071,5,0.0255,34,0.1735,8,0.0408,27,0.1378,11,0.0561,0,0,0,0,3,0.0153,13,0.0663,273,561,353,16,0.0586,2,0.0073,39,0.1429,6,0.022,29,0.1062,8,0.0293,0,0,2,0.0073,3,0.011,14,0.0513
25,218,525,24,0.1101,1,0.0046,42,0.1927,25,0.1147,11,0.0505,15,0.0688,0,0,2,0.0092,1,0.0046,14,0.0642,243,486,363,32,0.1317,2,0.0082,42,0.1728,8,0.0329,10,0.0412,26,0.107,0,0,1,0.0041,0,0,10,0.0412,242,513,420,26,0.1074,3,0.0124,38,0.157,18,0.0744,10,0.0413,18,0.0744,0,0,1,0.0041,1,0.0041,8,0.0331
26,883,2975,115,0.1302,9,0.0102,103,0.1166,35,0.0396,44,0.0498,25,0.0283,0,0,12,0.0136,0,0,6,0.0068,867,2993,3090,120,0.1384,10,0.0115,125,0.1442,43,0.0496,46,0.0531,23,0.0265,0,0,13,0.015,1,0.0012,9,0.0104,900,3282,3440,131,0.1456,8,0.0089,113,0.1256,38,0.0422,44,0.0489,22,0.0244,3,0.0033,12,0.0133,1,0.0011,7,0.0078
27,413,990,46,0.1114,4,0.0097,86,0.2082,27,0.0654,35,0.0847,11,0.0266,0,0,0,0,0,0,0,0,448,1027,991,50,0.1116,13,0.029,101,0.2254,48,0.1071,38,0.0848,12,0.0268,0,0,0,0,0,0,0,0,423,989,997,50,0.1182,12,0.0284,93,0.2199,50,0.1182,35,0.0827,11,0.026,0,0,0,0,0,0,0,0
28,1755,4053,103,0.0587,12,0.0068,151,0.086,61,0.0348,19,0.0108,29,0.0165,0,0,3,0.0017,0,0,14,0.008,3341,6782,2962,126,0.0377,26,0.0078,162,0.0485,77,0.023,34,0.0102,39,0.0117,0,0,2,0.0006,0,0,26,0.0078,3801,7471,3177,118,0.031,45,0.0118,140,0.0368,79,0.0208,42,0.011,25,0.0066,7,0.0018,3,0.0008,1,0.0003,19,0.005
29,961,1524,35,0.0364,6,0.0062,27,0.0281,8,0.0083,9,0.0094,8,0.0083,0,0,1,0.001,0,0,1,0.001,376,692,304,25,0.0665,15,0.0399,30,0.0798,9,0.0239,16,0.0426,7,0.0186,0,0,2,0.0053,2,0.0053,0,0,409,798,388,37,0.0905,22,0.0538,31,0.0758,9,0.022,14,0.0342,7,0.0171,0,0,1,0.0024,0,0,0,0
30,115,174,43,0.3739,4,0.0348,5,0.0435,5,0.0435,54,0.4696,23,0.2,3,0.0261,2,0.0174,1,0.0087,0,0,161,208,251,62,0.3851,3,0.0186,10,0.0621,9,0.0559,45,0.2795,31,0.1925,2,0.0124,4,0.0248,3,0.0186,0,0,92,144,217,37,0.4022,1,0.0109,14,0.1522,11,0.1196,38,0.413,23,0.25,0,0,3,0.0326,6,0.0652,2,0.0217
31,2005,4682,125,0.0623,7,0.0035,98,0.0489,48,0.0239,49,0.0244,27,0.0135,4,0.002,1,0.0005,1,0.0005,8,0.004,3133,6561,3004,147,0.0469,8,0.0026,120,0.0383,66,0.0211,47,0.015,35,0.0112,1,0.0003,1,0.0003,4,0.0013,10,0.0032,3129,6215,2848,142,0.0454,4,0.0013,110,0.0352,82,0.0262,51,0.0163,38,0.0121,0,0,3,0.001,3,0.001,15,0.0048
32,400,764,27,0.0675,6,0.015,31,0.0775,16,0.04,8,0.02,11,0.0275,1,0.0025,0,0,0,0,3,0.0075,405,844,250,20,0.0494,9,0.0222,37,0.0914,13,0.0321,7,0.0173,10,0.0247,1,0.0025,0,0,0,0,6,0.0148,444,872,266,19,0.0428,10,0.0225,38,0.0856,16,0.036,3,0.0068,8,0.018,0,0,0,0,0,0,7,0.0158
33,293,607,30,0.1024,1,0.0034,30,0.1024,15,0.0512,18,0.0614,12,0.041,0,0,2,0.0068,1,0.0034,1,0.0034,266,643,232,33,0.1241,0,0,36,0.1353,15,0.0564,18,0.0677,17,0.0639,0,0,1,0.0038,0,0,1,0.0038,278,686,228,38,0.1367,3,0.0108,25,0.0899,11,0.0396,13,0.0468,19,0.0683,0,0,0,0,0,0,2,0.0072
34,156,360,18,0.1154,0,0,24,0.1538,8,0.0513,8,0.0513,4,0.0256,0,0,0,0,0,0,4,0.0256,159,292,264,22,0.1384,0,0,25,0.1572,9,0.0566,6,0.0377,6,0.0377,0,0,0,0,0,0,4,0.0252,206,435,346,25,0.1214,0,0,36,0.1748,10,0.0485,11,0.0534,9,0.0437,0,0,0,0,0,0,5,0.0243
35,361,753,47,0.1302,5,0.0139,49,0.1357,14,0.0388,9,0.0249,18,0.0499,1,0.0028,1,0.0028,0,0,6,0.0166,371,771,362,45,0.1213,2,0.0054,41,0.1105,20,0.0539,12,0.0323,11,0.0296,0,0,1,0.0027,0,0,5,0.0135,399,733,360,41,0.1028,1,0.0025,47,0.1178,22,0.0551,17,0.0426,9,0.0226,1,0.0025,1,0.0025,1,0.0025,4,0.01
36,256,537,43,0.168,1,0.0039,38,0.1484,12,0.0469,12,0.0469,9,0.0352,0,0,0,0,0,0,2,0.0078,261,465,365,29,0.1111,5,0.0192,41,0.1571,15,0.0575,4,0.0153,9,0.0345,3,0.0115,0,0,0,0,4,0.0153,246,472,383,30,0.122,3,0.0122,39,0.1585,17,0.0691,8,0.0325,7,0.0285,2,0.0081,0,0,0,0,3,0.0122
37,470,1179,117,0.2489,5,0.0106,65,0.1383,42,0.0894,38,0.0809,23,0.0489,3,0.0064,14,0.0298,5,0.0106,17,0.0362,444,898,630,90,0.2027,15,0.0338,44,0.0991,18,0.0405,16,0.036,21,0.0473,6,0.0135,5,0.0113,0,0,6,0.0135,435,1028,599,102,0.2345,2,0.0046,52,0.1195,30,0.069,31,0.0713,24,0.0552,1,0.0023,8,0.0184,0,0,11,0.0253
38,586,1298,113,0.1928,23,0.0392,115,0.1962,35,0.0597,18,0.0307,26,0.0444,9,0.0154,2,0.0034,1,0.0017,9,0.0154,575,1275,874,97,0.1687,42,0.073,83,0.1443,32,0.0557,13,0.0226,24,0.0417,16,0.0278,3,0.0052,0,0,11,0.0191,537,1230,874,91,0.1695,38,0.0708,82,0.1527,33,0.0615,12,0.0223,24,0.0447,15,0.0279,1,0.0019,0,0,6,0.0112
39,270,615,55,0.2037,3,0.0111,43,0.1593,16,0.0593,25,0.0926,17,0.063,0,0,0,0,0,0,4,0.0148,262,592,342,39,0.1489,5,0.0191,36,0.1374,5,0.0191,25,0.0954,14,0.0534,2,0.0076,0,0,0,0,7,0.0267,233,500,395,50,0.2146,0,0,39,0.1674,16,0.0687,26,0.1116,19,0.0815,0,0,2,0.0086,3,0.0129,3,0.0129
40,305,324,50,0.1639,8,0.0262,25,0.082,9,0.0295,4,0.0131,13,0.0426,3,0.0098,0,0,0,0,3,0.0098,221,356,212,35,0.1584,4,0.0181,30,0.1357,11,0.0498,6,0.0271,9,0.0407,2,0.009,1,0.0045,0,0,3,0.0136,242,437,332,56,0.2314,5,0.0207,34,0.1405,25,0.1033,17,0.0702,22,0.0909,2,0.0083,0,0,0,0,3,0.0124
41,268,520,35,0.1306,0,0,20,0.0746,8,0.0299,7,0.0261,15,0.056,0,0,0,0,0,0,1,0.0037,305,630,381,34,0.1115,0,0,32,0.1049,10,0.0328,10,0.0328,24,0.0787,0,0,2,0.0066,0,0,4,0.0131,285,622,390,26,0.0912,0,0,40,0.1404,11,0.0386,7,0.0246,15,0.0526,0,0,1,0.0035,0,0,3,0.0105
42,223,407,40,0.1794,2,0.009,20,0.0897,11,0.0493,77,0.3453,18,0.0807,1,0.0045,12,0.0538,0,0,6,0.0269,204,375,591,32,0.1569,5,0.0245,34,0.1667,13,0.0637,82,0.402,14,0.0686,5,0.0245,19,0.0931,0,0,10,0.049,254,430,667,49,0.1929,10,0.0394,36,0.1417,16,0.063,93,0.3661,29,0.1142,9,0.0354,14,0.0551,1,0.0039,13,0.0512
43,750,2298,93,0.124,5,0.0067,91,0.1213,40,0.0533,29,0.0387,37,0.0493,2,0.0027,3,0.004,0,0,13,0.0173,722,2379,1678,114,0.1579,6,0.0083,90,0.1247,35,0.0485,41,0.0568,51,0.0706,2,0.0028,5,0.0069,1,0.0014,27,0.0374,753,2455,1717,135,0.1793,4,0.0053,90,0.1195,61,0.081,47,0.0624,41,0.0544,3,0.004,5,0.0066,1,0.0013,13,0.0173
44,740,1791,82,0.1108,17,0.023,120,0.1622,47,0.0635,32,0.0432,15,0.0203,5,0.0068,6,0.0081,0,0,21,0.0284,672,1595,1969,68,0.1012,15,0.0223,91,0.1354,45,0.067,23,0.0342,15,0.0223,7,0.0104,3,0.0045,2,0.003,9,0.0134,692,1784,2400,68,0.0983,11,0.0159,114,0.1647,45,0.065,29,0.0419,14,0.0202,5,0.0072,6,0.0087,0,0,23,0.0332
45,858,1981,105,0.1224,12,0.014,148,0.1725,48,0.0559,49,0.0571,50,0.0583,9,0.0105,4,0.0047,0,0,23,0.0268,865,2004,1516,107,0.1237,7,0.0081,172,0.1988,46,0.0532,46,0.0532,52,0.0601,1,0.0012,3,0.0035,0,0,16,0.0185,900,2022,1497,84,0.0933,10,0.0111,165,0.1833,80,0.0889,46,0.0511,34,0.0378,5,0.0056,2,0.0022,0,0,23,0.0256
46,151,291,28,0.1854,1,0.0066,36,0.2384,12,0.0795,19,0.1258,13,0.0861,0,0,0,0,0,0,8,0.053,140,286,222,20,0.1429,0,0,25,0.1786,11,0.0786,10,0.0714,11,0.0786,0,0,0,0,0,0,10,0.0714,146,302,272,27,0.1849,2,0.0137,25,0.1712,9,0.0616,16,0.1096,17,0.1164,1,0.0068,1,0.0068,0,0,4,0.0274
47,493,1465,64,0.1298,2,0.0041,51,0.1034,20,0.0406,10,0.0203,21,0.0426,2,0.0041,1,0.002,1,0.002,10,0.0203,522,1459,588,67,0.1284,2,0.0038,49,0.0939,18,0.0345,16,0.0307,28,0.0536,0,0,1,0.0019,1,0.0019,10,0.0192,544,1666,759,68,0.125,2,0.0037,66,0.1213,33,0.0607,19,0.0349,30,0.0551,0,0,2,0.0037,1,0.0018,6,0.011
48,189,304,20,0.1058,3,0.0159,36,0.1905,9,0.0476,10,0.0529,6,0.0317,0,0,1,0.0053,1,0.0053,5,0.0265,206,364,238,30,0.1456,6,0.0291,35,0.1699,10,0.0485,10,0.0485,10,0.0485,0,0,2,0.0097,0,0,4,0.0194,240,476,280,25,0.1042,2,0.0083,52,0.2167,16,0.0667,15,0.0625,10,0.0417,0,0,0,0,0,0,10,0.0417
49,263,554,36,0.1369,9,0.0342,40,0.1521,16,0.0608,12,0.0456,13,0.0494,3,0.0114,1,0.0038,1,0.0038,5,0.019,258,535,511,47,0.1822,10,0.0388,56,0.2171,19,0.0736,13,0.0504,19,0.0736,3,0.0116,2,0.0078,0,0,9,0.0349,264,540,497,27,0.1023,5,0.0189,53,0.2008,13,0.0492,12,0.0455,11,0.0417,1,0.0038,2,0.0076,0,0,7,0.0265
50,359,826,40,0.1114,3,0.0084,54,0.1504,6,0.0167,9,0.0251,17,0.0474,0,0,1,0.0028,0,0,11,0.0306,380,854,667,40,0.1053,3,0.0079,58,0.1526,16,0.0421,17,0.0447,17,0.0447,1,0.0026,2,0.0053,0,0,11,0.0289,426,970,684,49,0.115,1,0.0023,47,0.1103,20,0.0469,17,0.0399,19,0.0446,1,0.0023,0,0,1,0.0023,8,0.0188
51,314,687,61,0.1943,3,0.0096,78,0.2484,25,0.0796,23,0.0732,17,0.0541,0,0,2,0.0064,0,0,10,0.0318,341,1047,902,103,0.3021,5,0.0147,79,0.2317,29,0.085,32,0.0938,47,0.1378,2,0.0059,5,0.0147,2,0.0059,18,0.0528,341,985,892,71,0.2082,4,0.0117,75,0.2199,27,0.0792,33,0.0968,40,0.1173,3,0.0088,2,0.0059,4,0.0117,22,0.0645
52,278,627,27,0.0971,7,0.0252,49,0.1763,24,0.0863,14,0.0504,4,0.0144,0,0,0,0,0,0,0,0,335,796,668,37,0.1104,4,0.0119,68,0.203,28,0.0836,13,0.0388,20,0.0597,0,0,0,0,0,0,0,0,322,770,697,25,0.0776,9,0.028,67,0.2081,44,0.1366,20,0.0621,6,0.0186,0,0,0,0,0,0,0,0
53,402,972,69,0.1716,1,0.0025,60,0.1493,27,0.0672,27,0.0672,27,0.0672,0,0,0,0,0,0,0,0,453,1093,716,59,0.1302,6,0.0132,64,0.1413,29,0.064,22,0.0486,24,0.053,0,0,0,0,0,0,0,0,457,1120,824,65,0.1422,4,0.0088,75,0.1641,32,0.07,30,0.0656,26,0.0569,0,0,0,0,0,0,0,0
54,435,1124,104,0.2391,9,0.0207,63,0.1448,42,0.0966,21,0.0483,47,0.108,2,0.0046,0,0,1,0.0023,11,0.0253,445,1065,1083,89,0.2,10,0.0225,63,0.1416,38,0.0854,30,0.0674,34,0.0764,8,0.018,3,0.0067,1,0.0022,18,0.0404,508,1251,1201,108,0.2126,6,0.0118,82,0.1614,41,0.0807,42,0.0827,49,0.0965,1,0.002,3,0.0059,0,0,20,0.0394
55,568,1333,89,0.1567,20,0.0352,81,0.1426,27,0.0475,36,0.0634,39,0.0687,6,0.0106,2,0.0035,0,0,9,0.0158,553,1216,1080,68,0.123,27,0.0488,79,0.1429,30,0.0542,26,0.047,34,0.0615,9,0.0163,1,0.0018,3,0.0054,13,0.0235,623,1403,1202,91,0.1461,15,0.0241,97,0.1557,39,0.0626,30,0.0482,44,0.0706,5,0.008,1,0.0016,1,0.0016,21,0.0337
