hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
33,327,739,41,0.1254,3,0.0092,36,0.1101,9,0.0275,20,0.0612,14,0.0428,0,0,2,0.0061,0,0,1,0.0031,291,722,244,26,0.0893,2,0.0069,31,0.1065,16,0.055,7,0.0241,12,0.0412,0,0,2,0.0069,0,0,2,0.0069,522,1041,461,60,0.1149,2,0.0038,63,0.1207,32,0.0613,29,0.0556,30,0.0575,0,0,1,0.0019,2,0.0038,14,0.0268
34,209,404,30,0.1435,1,0.0048,40,0.1914,11,0.0526,15,0.0718,8,0.0383,0,0,0,0,0,0,4,0.0191,185,359,270,24,0.1297,0,0,25,0.1351,6,0.0324,8,0.0432,9,0.0486,0,0,0,0,0,0,4,0.0216,254,510,362,32,0.126,1,0.0039,44,0.1732,12,0.0472,9,0.0354,13,0.0512,0,0,0,0,0,0,1,0.0039
35,406,871,44,0.1084,2,0.0049,47,0.1158,20,0.0493,13,0.032,11,0.0271,1,0.0025,0,0,0,0,9,0.0222,400,935,479,53,0.1325,2,0.005,61,0.1525,24,0.06,20,0.05,12,0.03,0,0,1,0.0025,0,0,9,0.0225,416,984,560,74,0.1779,4,0.0096,71,0.1707,17,0.0409,22,0.0529,24,0.0577,1,0.0024,6,0.0144,0,0,12,0.0288
36,255,498,34,0.1333,4,0.0157,30,0.1176,18,0.0706,14,0.0549,7,0.0275,1,0.0039,1,0.0039,0,0,4,0.0157,257,534,362,32,0.1245,2,0.0078,41,0.1595,17,0.0661,10,0.0389,6,0.0233,0,0,1,0.0039,0,0,1,0.0039,471,1096,683,68,0.1444,17,0.0361,59,0.1253,28,0.0594,19,0.0403,17,0.0361,9,0.0191,1,0.0021,0,0,9,0.0191
37,460,1042,91,0.1978,6,0.013,62,0.1348,33,0.0717,27,0.0587,18,0.0391,3,0.0065,5,0.0109,0,0,9,0.0196,407,980,542,79,0.1941,5,0.0123,57,0.14,24,0.059,28,0.0688,25,0.0614,1,0.0025,8,0.0197,0,0,12,0.0295,257,618,456,63,0.2451,4,0.0156,49,0.1907,19,0.0739,20,0.0778,28,0.1089,3,0.0117,0,0,1,0.0039,5,0.0195
38,454,983,74,0.163,21,0.0463,68,0.1498,22,0.0485,15,0.033,18,0.0396,9,0.0198,2,0.0044,0,0,1,0.0022,409,863,575,61,0.1491,18,0.044,62,0.1516,22,0.0538,3,0.0073,17,0.0416,7,0.0171,1,0.0024,0,0,8,0.0196,260,479,325,45,0.1731,1,0.0038,47,0.1808,28,0.1077,16,0.0615,15,0.0577,0,0,0,0,0,0,4,0.0154
39,243,574,56,0.2305,0,0,51,0.2099,17,0.07,14,0.0576,22,0.0905,0,0,0,0,0,0,5,0.0206,252,613,392,50,0.1984,1,0.004,45,0.1786,14,0.0556,21,0.0833,13,0.0516,0,0,1,0.004,1,0.004,4,0.0159,236,560,303,38,0.161,0,0,26,0.1102,13,0.0551,11,0.0466,18,0.0763,0,0,1,0.0042,0,0,1,0.0042
40,221,424,43,0.1946,5,0.0226,27,0.1222,15,0.0679,8,0.0362,11,0.0498,2,0.009,0,0,0,0,3,0.0136,201,397,197,33,0.1642,0,0,27,0.1343,7,0.0348,3,0.0149,11,0.0547,0,0,0,0,0,0,4,0.0199,192,299,451,25,0.1302,11,0.0573,23,0.1198,9,0.0469,69,0.3594,12,0.0625,10,0.0521,11,0.0573,0,0,7,0.0365
41,272,612,34,0.125,0,0,43,0.1581,14,0.0515,10,0.0368,15,0.0551,0,0,0,0,1,0.0037,7,0.0257,239,582,330,48,0.2008,0,0,34,0.1423,5,0.0209,7,0.0293,23,0.0962,0,0,0,0,0,0,7,0.0293,712,2294,1696,92,0.1292,1,0.0014,94,0.132,38,0.0534,44,0.0618,39,0.0548,0,0,8,0.0112,1,0.0014,9,0.0126
42,242,389,37,0.1529,9,0.0372,27,0.1116,15,0.062,79,0.3264,20,0.0826,9,0.0372,10,0.0413,1,0.0041,11,0.0455,235,376,635,43,0.183,15,0.0638,36,0.1532,15,0.0638,91,0.3872,16,0.0681,15,0.0638,17,0.0723,0,0,11,0.0468,648,1589,1992,71,0.1096,7,0.0108,116,0.179,38,0.0586,40,0.0617,15,0.0231,4,0.0062,9,0.0139,0,0,15,0.0231
43,768,2497,109,0.1419,5,0.0065,87,0.1133,29,0.0378,29,0.0378,37,0.0482,2,0.0026,2,0.0026,0,0,15,0.0195,714,2176,1631,94,0.1317,4,0.0056,95,0.1331,23,0.0322,72,0.1008,28,0.0392,1,0.0014,3,0.0042,1,0.0014,27,0.0378,833,1814,1259,96,0.1152,4,0.0048,143,0.1717,63,0.0756,46,0.0552,45,0.054,2,0.0024,6,0.0072,3,0.0036,4,0.0048
44,633,1538,89,0.1406,13,0.0205,121,0.1912,39,0.0616,32,0.0506,10,0.0158,3,0.0047,4,0.0063,1,0.0016,13,0.0205,607,1505,1751,75,0.1236,8,0.0132,114,0.1878,44,0.0725,31,0.0511,16,0.0264,3,0.0049,5,0.0082,0,0,13,0.0214,77,146,147,15,0.1948,0,0,15,0.1948,2,0.026,14,0.1818,10,0.1299,0,0,1,0.013,0,0,3,0.039
45,870,1977,93,0.1069,9,0.0103,152,0.1747,61,0.0701,43,0.0494,38,0.0437,5,0.0057,4,0.0046,0,0,31,0.0356,777,1763,1243,95,0.1223,7,0.009,136,0.175,42,0.0541,35,0.045,46,0.0592,4,0.0051,2,0.0026,0,0,9,0.0116,495,1478,614,60,0.1212,0,0,64,0.1293,23,0.0465,19,0.0384,19,0.0384,0,0,1,0.002,0,0,11,0.0222
46,123,232,23,0.187,2,0.0163,21,0.1707,5,0.0407,11,0.0894,19,0.1545,0,0,0,0,0,0,3,0.0244,110,227,189,21,0.1909,0,0,19,0.1727,2,0.0182,13,0.1182,17,0.1545,0,0,1,0.0091,0,0,4,0.0364,283,710,385,29,0.1025,2,0.0071,67,0.2367,17,0.0601,12,0.0424,14,0.0495,0,0,0,0,0,0,8,0.0283
47,432,1248,53,0.1227,4,0.0093,48,0.1111,24,0.0556,15,0.0347,18,0.0417,1,0.0023,1,0.0023,0,0,12,0.0278,420,1200,449,42,0.1,0,0,45,0.1071,9,0.0214,10,0.0238,17,0.0405,0,0,1,0.0024,0,0,6,0.0143,260,503,488,32,0.1231,2,0.0077,62,0.2385,18,0.0692,13,0.05,14,0.0538,2,0.0077,0,0,1,0.0038,5,0.0192
48,226,459,24,0.1062,1,0.0044,45,0.1991,15,0.0664,11,0.0487,8,0.0354,0,0,0,0,0,0,8,0.0354,253,576,351,30,0.1186,4,0.0158,56,0.2213,21,0.083,13,0.0514,12,0.0474,0,0,0,0,1,0.004,10,0.0395,367,809,519,40,0.109,0,0,37,0.1008,13,0.0354,11,0.03,18,0.049,0,0,0,0,0,0,10,0.0272
49,232,476,39,0.1681,5,0.0216,37,0.1595,16,0.069,14,0.0603,16,0.069,2,0.0086,1,0.0043,0,0,2,0.0086,200,401,367,37,0.185,4,0.02,37,0.185,13,0.065,8,0.04,17,0.085,0,0,2,0.01,0,0,3,0.015,344,1022,794,81,0.2355,5,0.0145,72,0.2093,26,0.0756,56,0.1628,47,0.1366,3,0.0087,8,0.0233,0,0,17,0.0494
50,368,851,42,0.1141,1,0.0027,38,0.1033,13,0.0353,22,0.0598,19,0.0516,0,0,0,0,1,0.0027,8,0.0217,320,736,463,28,0.0875,1,0.0031,41,0.1281,11,0.0344,17,0.0531,13,0.0406,1,0.0031,0,0,1,0.0031,10,0.0313,221,587,558,31,0.1403,2,0.009,40,0.181,28,0.1267,16,0.0724,11,0.0498,0,0,0,0,0,0,0,0
51,321,892,80,0.2492,5,0.0156,61,0.19,21,0.0654,26,0.081,36,0.1121,1,0.0031,1,0.0031,0,0,18,0.0561,319,1084,748,80,0.2508,4,0.0125,62,0.1944,20,0.0627,32,0.1003,47,0.1473,0,0,7,0.0219,0,0,17,0.0533,381,853,615,47,0.1234,0,0,61,0.1601,27,0.0709,18,0.0472,25,0.0656,0,0,0,0,1,0.0026,11,0.0289
52,256,574,33,0.1289,3,0.0117,45,0.1758,18,0.0703,13,0.0508,14,0.0547,0,0,0,0,0,0,0,0,219,547,387,23,0.105,2,0.0091,28,0.1279,13,0.0594,14,0.0639,6,0.0274,0,0,0,0,0,0,0,0,486,1286,1031,73,0.1502,8,0.0165,88,0.1811,41,0.0844,39,0.0802,31,0.0638,6,0.0123,3,0.0062,3,0.0062,21,0.0432
53,446,1031,49,0.1099,6,0.0135,58,0.13,30,0.0673,23,0.0516,20,0.0448,1,0.0022,0,0,0,0,0,0,422,925,583,53,0.1256,4,0.0095,65,0.154,16,0.0379,21,0.0498,21,0.0498,2,0.0047,0,0,1,0.0024,6,0.0142,494,1104,797,63,0.1275,5,0.0101,67,0.1356,39,0.0789,25,0.0506,38,0.0769,0,0,1,0.002,3,0.0061,9,0.0182
54,433,1122,94,0.2171,8,0.0185,92,0.2125,36,0.0831,30,0.0693,38,0.0878,1,0.0023,5,0.0115,1,0.0023,15,0.0346,471,1221,965,86,0.1826,5,0.0106,89,0.189,40,0.0849,32,0.0679,38,0.0807,2,0.0042,0,0,1,0.0021,17,0.0361,388,796,925,72,0.1856,1,0.0026,61,0.1572,27,0.0696,17,0.0438,34,0.0876,0,0,1,0.0026,5,0.0129,10,0.0258
55,508,1161,73,0.1437,20,0.0394,68,0.1339,26,0.0512,18,0.0354,38,0.0748,5,0.0098,0,0,0,0,13,0.0256,480,1124,849,62,0.1292,6,0.0125,71,0.1479,29,0.0604,30,0.0625,30,0.0625,0,0,2,0.0042,0,0,14,0.0292,80,117,132,8,0.1,0,0,29,0.3625,14,0.175,2,0.025,2,0.025,0,0,0,0,0,0,0,0
56,426,790,87,0.2042,3,0.007,60,0.1408,18,0.0423,22,0.0516,32,0.0751,0,0,2,0.0047,0,0,13,0.0305,421,882,955,81,0.1924,0,0,63,0.1496,21,0.0499,13,0.0309,36,0.0855,0,0,2,0.0048,4,0.0095,6,0.0143,500,1566,987,61,0.122,3,0.006,112,0.224,58,0.116,39,0.078,32,0.064,1,0.002,4,0.008,1,0.002,21,0.042
